11
Alice Smith,9987654321,alicesmith@example.com
Bob Johnson,1112223333,bobjohnson@company.com
Carol White,4445556666,carolwhite@company.com
david wilson,7778889999,davidbrown@example.com
Farhan Edathadathil,9876543210,farhanedathdathil@gmail.com
Frank Miller,3334445555,frankmiller@example.com
Grace Wilson,8889990006,gracewilson@example.com
Hannah Clark,5556667777,hannahclark@example.com
Ian Lewis,8889990000,ianlewis@example.com
shreyas krishna,9846361223,shreyaskrish@gmail.ac.in
sudharshan p,5432167890,sudarshn@domain.ac.com
